Striped Box coloring (coloringBox 3x3x3) (coop_num 4),41-44,3d_27pt,32,32,32,830584,SymGS,vanilla_version_RR Norm: 0.200786
1.78224
1.80032
1.79357
1.7951
1.79818
1.77555
1.78547
1.79536
1.79606
1.77322
