Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,128,128,128,55742968,SymGS,vanilla_version_RR Norm: 0.473484
26.5886
26.5282
26.5358
26.4969
26.489
26.5057
26.4692
26.4909
26.4692
26.4744
