Striped Box coloring (coloringBox 3x3x3) (coop_num 4),41-44,3d_27pt,64,64,64,6859000,SymGS,vanilla_version_RR Norm: 0.335813
3.22813
3.23046
3.20304
3.20669
3.20208
3.21027
3.21834
3.2087
3.20422
3.20717
