Striped coloring (storing nothing),41-44,3d_27pt,24,24,24,343000,MG,vanilla_version_RR Norm: 0.209858
11.8527
11.6623
11.6859
11.7064
11.7259
11.7279
11.6746
11.6685
11.732
11.6818
