Striped coloring (storing nothing),41-44,3d_27pt,128,64,64,13790200,SymGS,vanilla_version_RR Norm: 0.375064
16.1809
16.1171
16.1466
16.1121
16.1298
16.1155
16.1205
16.1186
16.1603
16.162
