Striped Warp Reduction,41-44,3d_27pt,128,64,64,13790200,CG_noPreconditioning,vanilla_version_RR Norm: 0.049629
0.910208
0.90928
0.91984
0.902752
0.934688
0.904032
0.913216
0.920192
0.907296
0.941376
