Striped coloring (pre-computing COR Format),41-44,3d_27pt,24,24,24,343000,MG,vanilla_version_RR Norm: 0.209858
12.4397
12.331
12.3208
12.2685
12.2696
12.3023
12.3443
12.3044
12.2716
12.2665
