Striped coloring (pre-computing COR Format),41-44,3d_27pt,128,128,64,27725560,SymGS,vanilla_version_RR Norm: 0.418618
21.3389
21.2597
21.2768
21.2895
21.3116
21.2604
21.2231
21.236
21.2302
21.2292
