Striped coloring (storing nothing),41-44,3d_27pt,24,24,24,343000,CG_noPreconditioning,vanilla_version_RR Norm: 0.209858
4.38762
4.38458
4.38368
4.38429
4.39242
4.40317
4.42534
4.404
4.42973
4.3983
