Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,128,128,128,55742968,CG,vanilla_version_RR Norm: 0.473484
9226.37
9226.56
9227.79
9230.01
9232.75
9228.63
9228.32
9230.45
9228.73
9229.79
