Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,256,128,128,111777784,CG_noPreconditioning,vanilla_version_RR Norm: 0.511717
718.605
719.362
719.098
718.772
719.179
719.056
718.815
719.103
719.041
719.381
