Striped coloring (storing nothing),41-44,3d_27pt,128,128,64,27725560,CG_noPreconditioning,vanilla_version_RR Norm: 0.418618
122.648
122.706
122.714
122.725
122.8
122.915
122.668
122.987
122.793
122.774
