Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,24,24,24,343000,CG,vanilla_version_RR Norm: 0.209858
280.231
276.379
276.592
276.509
276.407
276.628
276.402
276.381
276.503
276.883
