Striped Warp Reduction,41-44,3d_27pt,128,128,128,55742968,MG,vanilla_version_RR Norm: 0.0424581
11848.1
11848.2
11848.1
11848
11847.9
11848.1
11847.8
11847.8
11848.1
11848.3
