Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,128,128,64,27725560,MG,vanilla_version_RR Norm: 0.418618
58.835
58.6137
58.5196
58.7203
58.6004
58.5349
58.6209
58.5933
58.6332
58.5052
