Striped coloring (storing nothing),41-44,3d_27pt,256,128,128,111777784,CG,vanilla_version_RR Norm: 0.511717
21164.4
21172.7
21174.4
21177
21176.5
21175.9
21167.7
21169.6
21170.2
21176.6
