Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,128,128,128,55742968,MG,vanilla_version_RR Norm: 0.473484
87.9053
87.3175
87.254
87.2212
87.167
87.2458
87.2888
87.2704
87.3175
87.2571
