Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,8,8,8,10648,CG_noPreconditioning,vanilla_version_RR Norm: 0.187864
1.30067
1.23216
1.21117
1.23302
1.23043
1.21862
1.29462
1.29613
1.30176
1.29904
