Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,8,8,8,10648,SymGS,vanilla_version_RR Norm: 0.187864
0.873472
0.8704
0.868352
0.868352
0.87552
0.8704
0.8704
0.879616
0.877568
0.876544
