Striped Box coloring (coloringBox 3x3x3) (coop_num 4),41-44,3d_27pt,256,128,128,111777784,SymGS,vanilla_version_RR Norm: 0.511224
143.422
143.38
143.402
143.145
143.422
144.299
143.817
143.245
143.545
143.078
