Striped Warp Reduction,41-44,3d_27pt,64,64,64,6859000,CG,vanilla_version_RR Norm: 0.0523895
0.781888
0.714592
0.691392
0.684864
0.687264
0.689984
0.684896
0.676736
0.702464
0.681536
