Striped coloring (pre-computing COR Format),41-44,3d_27pt,256,128,128,111777784,CG,vanilla_version_RR Norm: 0.511717
20096.5
20099
20088.3
20100
20097.9
20102.8
20098
20101.1
20094.7
20101
