Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,128,128,64,27725560,CG_noPreconditioning,vanilla_version_RR Norm: 0.418618
122.549
122.59
122.554
122.663
122.606
122.61
122.791
122.959
122.811
123.34
