Striped coloring (pre-computing COR Format),41-44,3d_27pt,128,64,64,13790200,SymGS,vanilla_version_RR Norm: 0.375064
14.0452
13.9828
14.0488
13.952
13.9629
13.9612
13.9676
14.012
13.9568
14.009
