Striped coloring (storing nothing),41-44,3d_27pt,128,64,64,13790200,CG,vanilla_version_RR Norm: 0.375064
3874.34
3873.67
3873.18
3875.03
3873.24
3872.84
3870.23
3868.72
3873.37
3873.28
