Striped coloring (storing nothing),41-44,3d_27pt,128,128,64,27725560,MG,vanilla_version_RR Norm: 0.418618
74.4726
74.2113
74.3506
74.327
74.2513
74.2154
74.2953
74.3597
74.2031
74.3301
