Striped Warp Reduction,41-44,3d_27pt,256,128,128,111777784,CG,vanilla_version_RR Norm: 0.0408095
4.38986
4.37264
4.36688
4.36314
4.37155
4.36253
4.37126
4.35034
4.35693
4.37251
