Striped coloring (storing nothing),41-44,3d_27pt,64,64,64,6859000,CG_noPreconditioning,vanilla_version_RR Norm: 0.341176
26.3421
26.3268
26.2045
26.2441
26.2273
26.2483
26.2307
26.236
26.3294
26.2394
