Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,64,64,64,6859000,CG,vanilla_version_RR Norm: 0.341176
2040.9
2039.9
2037.8
2038.18
2039.24
2040.01
2040.8
2041.58
2040.63
2041.78
