Striped coloring (storing nothing),41-44,3d_27pt,32,32,32,830584,SymGS,vanilla_version_RR Norm: 0.238672
6.59139
6.51149
6.51654
6.50221
6.51066
6.52634
6.54272
6.50714
6.51085
6.5081
