Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,64,64,64,6859000,CG_noPreconditioning,vanilla_version_RR Norm: 0.341176
26.4924
26.5289
26.3937
26.3739
26.446
26.439
26.365
26.4374
26.536
26.4267
