Striped coloring (pre-computing COR Format),41-44,3d_27pt,32,32,32,830584,CG_noPreconditioning,vanilla_version_RR Norm: 0.238672
8.53491
8.53702
8.63571
8.60054
8.5281
8.54861
8.58387
8.51722
8.50531
8.56058
