"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","210847","run_profiler","127.0.0.1","scalar_vector_mult_kernel(long, double, double *, double *)","1","7","(1024, 1, 1)","(16384, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","Mbyte","134.26"
"0","210847","run_profiler","127.0.0.1","scalar_vector_mult_kernel(long, double, double *, double *)","1","7","(1024, 1, 1)","(16384, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_write.sum","Mbyte","114.20"
"0","210847","run_profiler","127.0.0.1","scalar_vector_mult_kernel(long, double, double *, double *)","1","7","(1024, 1, 1)","(16384, 1, 1)","0","9.0","Command line profiler metrics","dram__throughput.avg","","n/a"
"0","210847","run_profiler","127.0.0.1","scalar_vector_mult_kernel(long, double, double *, double *)","1","7","(1024, 1, 1)","(16384, 1, 1)","0","9.0","Command line profiler metrics","gpu__dram_throughput.avg","","n/a"
"0","210847","run_profiler","127.0.0.1","scalar_vector_mult_kernel(long, double, double *, double *)","1","7","(1024, 1, 1)","(16384, 1, 1)","0","9.0","Command line profiler metrics","gpu__time_duration.sum","us","104.64"
"1","210847","run_profiler","127.0.0.1","striped_warp_reduction_SPMV_kernel(double *, long, int, long *, double *, double *)","1","7","(1024, 1, 1)","(65535, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","Gbyte","3.76"
"1","210847","run_profiler","127.0.0.1","striped_warp_reduction_SPMV_kernel(double *, long, int, long *, double *, double *)","1","7","(1024, 1, 1)","(65535, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_write.sum","Mbyte","133.15"
"1","210847","run_profiler","127.0.0.1","striped_warp_reduction_SPMV_kernel(double *, long, int, long *, double *, double *)","1","7","(1024, 1, 1)","(65535, 1, 1)","0","9.0","Command line profiler metrics","dram__throughput.avg","","n/a"
"1","210847","run_profiler","127.0.0.1","striped_warp_reduction_SPMV_kernel(double *, long, int, long *, double *, double *)","1","7","(1024, 1, 1)","(65535, 1, 1)","0","9.0","Command line profiler metrics","gpu__dram_throughput.avg","","n/a"
"1","210847","run_profiler","127.0.0.1","striped_warp_reduction_SPMV_kernel(double *, long, int, long *, double *, double *)","1","7","(1024, 1, 1)","(65535, 1, 1)","0","9.0","Command line profiler metrics","gpu__time_duration.sum","ms","1.59"
"2","210847","run_profiler","127.0.0.1","waxpb1y_kernel(long, double, double *, double *, double *)","1","7","(1024, 1, 1)","(16384, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","Mbyte","268.50"
"2","210847","run_profiler","127.0.0.1","waxpb1y_kernel(long, double, double *, double *, double *)","1","7","(1024, 1, 1)","(16384, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_write.sum","Mbyte","119.29"
"2","210847","run_profiler","127.0.0.1","waxpb1y_kernel(long, double, double *, double *, double *)","1","7","(1024, 1, 1)","(16384, 1, 1)","0","9.0","Command line profiler metrics","dram__throughput.avg","","n/a"
"2","210847","run_profiler","127.0.0.1","waxpb1y_kernel(long, double, double *, double *, double *)","1","7","(1024, 1, 1)","(16384, 1, 1)","0","9.0","Command line profiler metrics","gpu__dram_throughput.avg","","n/a"
"2","210847","run_profiler","127.0.0.1","waxpb1y_kernel(long, double, double *, double *, double *)","1","7","(1024, 1, 1)","(16384, 1, 1)","0","9.0","Command line profiler metrics","gpu__time_duration.sum","us","124.16"
"3","210847","run_profiler","127.0.0.1","striped_warp_reduction_dot_kernel(long, double *, double *, double *)","1","7","(1024, 1, 1)","(42, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","Mbyte","134.34"
"3","210847","run_profiler","127.0.0.1","striped_warp_reduction_dot_kernel(long, double *, double *, double *)","1","7","(1024, 1, 1)","(42, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_write.sum","Kbyte","24.83"
"3","210847","run_profiler","127.0.0.1","striped_warp_reduction_dot_kernel(long, double *, double *, double *)","1","7","(1024, 1, 1)","(42, 1, 1)","0","9.0","Command line profiler metrics","dram__throughput.avg","","n/a"
"3","210847","run_profiler","127.0.0.1","striped_warp_reduction_dot_kernel(long, double *, double *, double *)","1","7","(1024, 1, 1)","(42, 1, 1)","0","9.0","Command line profiler metrics","gpu__dram_throughput.avg","","n/a"
"3","210847","run_profiler","127.0.0.1","striped_warp_reduction_dot_kernel(long, double *, double *, double *)","1","7","(1024, 1, 1)","(42, 1, 1)","0","9.0","Command line profiler metrics","gpu__time_duration.sum","us","87.74"
