"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","211375","run_profiler","127.0.0.1","scalar_vector_mult_kernel(long, double, double *, double *)","1","7","(1024, 1, 1)","(65535, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","Gbyte","1.07"
"0","211375","run_profiler","127.0.0.1","scalar_vector_mult_kernel(long, double, double *, double *)","1","7","(1024, 1, 1)","(65535, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_write.sum","Gbyte","1.05"
"0","211375","run_profiler","127.0.0.1","scalar_vector_mult_kernel(long, double, double *, double *)","1","7","(1024, 1, 1)","(65535, 1, 1)","0","9.0","Command line profiler metrics","dram__throughput.avg","","n/a"
"0","211375","run_profiler","127.0.0.1","scalar_vector_mult_kernel(long, double, double *, double *)","1","7","(1024, 1, 1)","(65535, 1, 1)","0","9.0","Command line profiler metrics","gpu__dram_throughput.avg","","n/a"
"0","211375","run_profiler","127.0.0.1","scalar_vector_mult_kernel(long, double, double *, double *)","1","7","(1024, 1, 1)","(65535, 1, 1)","0","9.0","Command line profiler metrics","gpu__time_duration.sum","us","686.37"
"1","211375","run_profiler","127.0.0.1","striped_warp_reduction_SPMV_kernel(double *, long, int, long *, double *, double *)","1","7","(1024, 1, 1)","(65535, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","Gbyte","32.20"
"1","211375","run_profiler","127.0.0.1","striped_warp_reduction_SPMV_kernel(double *, long, int, long *, double *, double *)","1","7","(1024, 1, 1)","(65535, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_write.sum","Gbyte","1.07"
"1","211375","run_profiler","127.0.0.1","striped_warp_reduction_SPMV_kernel(double *, long, int, long *, double *, double *)","1","7","(1024, 1, 1)","(65535, 1, 1)","0","9.0","Command line profiler metrics","dram__throughput.avg","","n/a"
"1","211375","run_profiler","127.0.0.1","striped_warp_reduction_SPMV_kernel(double *, long, int, long *, double *, double *)","1","7","(1024, 1, 1)","(65535, 1, 1)","0","9.0","Command line profiler metrics","gpu__dram_throughput.avg","","n/a"
"1","211375","run_profiler","127.0.0.1","striped_warp_reduction_SPMV_kernel(double *, long, int, long *, double *, double *)","1","7","(1024, 1, 1)","(65535, 1, 1)","0","9.0","Command line profiler metrics","gpu__time_duration.sum","ms","12.74"
"2","211375","run_profiler","127.0.0.1","waxpb1y_kernel(long, double, double *, double *, double *)","1","7","(1024, 1, 1)","(65535, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","Gbyte","2.15"
"2","211375","run_profiler","127.0.0.1","waxpb1y_kernel(long, double, double *, double *, double *)","1","7","(1024, 1, 1)","(65535, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_write.sum","Gbyte","1.06"
"2","211375","run_profiler","127.0.0.1","waxpb1y_kernel(long, double, double *, double *, double *)","1","7","(1024, 1, 1)","(65535, 1, 1)","0","9.0","Command line profiler metrics","dram__throughput.avg","","n/a"
"2","211375","run_profiler","127.0.0.1","waxpb1y_kernel(long, double, double *, double *, double *)","1","7","(1024, 1, 1)","(65535, 1, 1)","0","9.0","Command line profiler metrics","gpu__dram_throughput.avg","","n/a"
"2","211375","run_profiler","127.0.0.1","waxpb1y_kernel(long, double, double *, double *, double *)","1","7","(1024, 1, 1)","(65535, 1, 1)","0","9.0","Command line profiler metrics","gpu__time_duration.sum","us","896.70"
"3","211375","run_profiler","127.0.0.1","striped_warp_reduction_dot_kernel(long, double *, double *, double *)","1","7","(1024, 1, 1)","(42, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","Gbyte","1.07"
"3","211375","run_profiler","127.0.0.1","striped_warp_reduction_dot_kernel(long, double *, double *, double *)","1","7","(1024, 1, 1)","(42, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_write.sum","Kbyte","74.75"
"3","211375","run_profiler","127.0.0.1","striped_warp_reduction_dot_kernel(long, double *, double *, double *)","1","7","(1024, 1, 1)","(42, 1, 1)","0","9.0","Command line profiler metrics","dram__throughput.avg","","n/a"
"3","211375","run_profiler","127.0.0.1","striped_warp_reduction_dot_kernel(long, double *, double *, double *)","1","7","(1024, 1, 1)","(42, 1, 1)","0","9.0","Command line profiler metrics","gpu__dram_throughput.avg","","n/a"
"3","211375","run_profiler","127.0.0.1","striped_warp_reduction_dot_kernel(long, double *, double *, double *)","1","7","(1024, 1, 1)","(42, 1, 1)","0","9.0","Command line profiler metrics","gpu__time_duration.sum","us","663.20"
"4","211375","run_profiler","127.0.0.1","reduce_sums(double *, long, double *)","1","7","(1024, 1, 1)","(1, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","Kbyte","7.68"
"4","211375","run_profiler","127.0.0.1","reduce_sums(double *, long, double *)","1","7","(1024, 1, 1)","(1, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_write.sum","byte","0"
"4","211375","run_profiler","127.0.0.1","reduce_sums(double *, long, double *)","1","7","(1024, 1, 1)","(1, 1, 1)","0","9.0","Command line profiler metrics","dram__throughput.avg","","n/a"
"4","211375","run_profiler","127.0.0.1","reduce_sums(double *, long, double *)","1","7","(1024, 1, 1)","(1, 1, 1)","0","9.0","Command line profiler metrics","gpu__dram_throughput.avg","","n/a"
"4","211375","run_profiler","127.0.0.1","reduce_sums(double *, long, double *)","1","7","(1024, 1, 1)","(1, 1, 1)","0","9.0","Command line profiler metrics","gpu__time_duration.sum","us","4.03"
"5","211375","run_profiler","127.0.0.1","striped_box_coloring_half_SymGS_kernel(int, long, int, int, int, int, int, int, long, long, int, int, long *, double *, double *, double *)","1","7","(1024, 1, 1)","(19533, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","Gbyte","2.55"
"5","211375","run_profiler","127.0.0.1","striped_box_coloring_half_SymGS_kernel(int, long, int, int, int, int, int, int, long, long, int, int, long *, double *, double *, double *)","1","7","(1024, 1, 1)","(19533, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_write.sum","Mbyte","117.91"
"5","211375","run_profiler","127.0.0.1","striped_box_coloring_half_SymGS_kernel(int, long, int, int, int, int, int, int, long, long, int, int, long *, double *, double *, double *)","1","7","(1024, 1, 1)","(19533, 1, 1)","0","9.0","Command line profiler metrics","dram__throughput.avg","","n/a"
"5","211375","run_profiler","127.0.0.1","striped_box_coloring_half_SymGS_kernel(int, long, int, int, int, int, int, int, long, long, int, int, long *, double *, double *, double *)","1","7","(1024, 1, 1)","(19533, 1, 1)","0","9.0","Command line profiler metrics","gpu__dram_throughput.avg","","n/a"
"5","211375","run_profiler","127.0.0.1","striped_box_coloring_half_SymGS_kernel(int, long, int, int, int, int, int, int, long, long, int, int, long *, double *, double *, double *)","1","7","(1024, 1, 1)","(19533, 1, 1)","0","9.0","Command line profiler metrics","gpu__time_duration.sum","ms","1.39"
"6","211375","run_profiler","127.0.0.1","striped_box_coloring_half_SymGS_kernel(int, long, int, int, int, int, int, int, long, long, int, int, long *, double *, double *, double *)","1","7","(1024, 1, 1)","(19533, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","Gbyte","2.55"
"6","211375","run_profiler","127.0.0.1","striped_box_coloring_half_SymGS_kernel(int, long, int, int, int, int, int, int, long, long, int, int, long *, double *, double *, double *)","1","7","(1024, 1, 1)","(19533, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_write.sum","Mbyte","117.76"
"6","211375","run_profiler","127.0.0.1","striped_box_coloring_half_SymGS_kernel(int, long, int, int, int, int, int, int, long, long, int, int, long *, double *, double *, double *)","1","7","(1024, 1, 1)","(19533, 1, 1)","0","9.0","Command line profiler metrics","dram__throughput.avg","","n/a"
"6","211375","run_profiler","127.0.0.1","striped_box_coloring_half_SymGS_kernel(int, long, int, int, int, int, int, int, long, long, int, int, long *, double *, double *, double *)","1","7","(1024, 1, 1)","(19533, 1, 1)","0","9.0","Command line profiler metrics","gpu__dram_throughput.avg","","n/a"
"6","211375","run_profiler","127.0.0.1","striped_box_coloring_half_SymGS_kernel(int, long, int, int, int, int, int, int, long, long, int, int, long *, double *, double *, double *)","1","7","(1024, 1, 1)","(19533, 1, 1)","0","9.0","Command line profiler metrics","gpu__time_duration.sum","ms","1.39"
