Banded Warp Reduction (cooperation number = 16),41-44,3d_27pt,8,8,8,10648,SymGS,vanilla_version
1.3015
1.28307
1.28205
1.28205
1.28205
1.28307
1.28205
1.28301
1.28307
1.28205
