Banded Warp Reduction (cooperation number = 16),41-44,3d_27pt,32,32,32,830584,SymGS,vanilla_version
81.6326
80.445
80.5141
80.4652
80.543
80.4701
80.4454
80.7296
80.4639
80.5583
