Banded Warp Reduction (cooperation number = 16),41-44,3d_27pt,16,16,16,97336,SymGS,vanilla_version
10.7756
10.6854
10.6865
10.6844
10.6844
10.6875
10.6866
10.6865
9.6
9.40854
